id;departamento_id;nombre
99;27;BOJAYA
135;27;EL CANTON DEL SAN PABLO
150;27;CARMEN DEL DARIEN
160;27;CERTEGUI
205;27;CONDOTO
245;27;EL CARMEN DE ATRATO
250;27;EL LITORAL DEL SAN JUAN
361;27;ISTMINA
372;27;JURADO
413;27;LLORO
425;27;MEDIO ATRATO
430;27;MEDIO BAUDO
450;27;MEDIO SAN JUAN
491;27;NOVITA
493;27;NUEVO BELEN DE BAJIRA *
495;27;NUQUI
580;27;RIO IRO
600;27;RIO QUITO
615;27;RIOSUCIO
660;27;SAN JOSE DEL PALMAR
745;27;SIPI
787;27;TADO
800;27;UNGUIA
810;27;UNION PANAMERICANA
1;41;NEIVA
6;41;ACEVEDO
13;41;AGRADO
16;41;AIPE
20;41;ALGECIRAS
26;41;ALTAMIRA
78;41;BARAYA
132;41;CAMPOALEGRE
206;41;COLOMBIA
244;41;ELIAS
298;41;GARZON
306;41;GIGANTE
319;41;GUADALUPE
349;41;HOBO
357;41;IQUIRA
359;41;ISNOS
378;41;LA ARGENTINA
396;41;LA PLATA
483;41;NATAGA
503;41;OPORAPA
518;41;PAICOL
524;41;PALERMO
530;41;PALESTINA
548;41;PITAL
551;41;PITALITO
615;41;RIVERA
660;41;SALADOBLANCO
668;41;SAN AGUSTIN
676;41;SANTA MARIA
770;41;SUAZA
791;41;TARQUI
797;41;TESALIA
799;41;TELLO
801;41;TERUEL
807;41;TIMANA
872;41;VILLAVIEJA
885;41;YAGUARA
1;44;RIOHACHA
35;44;ALBANIA
78;44;BARRANCAS
90;44;DIBULLA
98;44;DISTRACCION
110;44;EL MOLINO
279;44;FONSECA
378;44;HATONUEVO
420;44;LA JAGUA DEL PILAR
430;44;MAICAO
560;44;MANAURE
650;44;SAN JUAN DEL CESAR
847;44;URIBIA
855;44;URUMITA
874;44;VILLANUEVA
1;47;SANTA MARTA
30;47;ALGARROBO
53;47;ARACATACA
58;47;ARIGUANI
161;47;CERRO DE SAN ANTONIO
170;47;CHIVOLO
189;47;CIENAGA
205;47;CONCORDIA
245;47;EL BANCO
258;47;EL PIÑON
268;47;EL RETEN
288;47;FUNDACION
318;47;GUAMAL
460;47;NUEVA GRANADA
541;47;PEDRAZA
545;47;PIJIÑO DEL CARMEN
551;47;PIVIJAY
555;47;PLATO
570;47;PUEBLOVIEJO
605;47;REMOLINO
660;47;SABANAS DE SAN ANGEL
675;47;SALAMINA
692;47;SAN SEBASTIAN DE BUENAVISTA
703;47;SAN ZENON
707;47;SANTA ANA
720;47;SANTA BARBARA DE PINTO
745;47;SITIONUEVO
798;47;TENERIFE
960;47;ZAPAYAN
980;47;ZONA BANANERA
1;50;VILLAVICENCIO
6;50;ACACIAS
110;50;BARRANCA DE UPIA
124;50;CABUYARO
150;50;CASTILLA LA NUEVA
223;50;CUBARRAL
226;50;CUMARAL
245;50;EL CALVARIO
251;50;EL CASTILLO
270;50;EL DORADO
287;50;FUENTE DE ORO
313;50;GRANADA
318;50;GUAMAL
325;50;MAPIRIPAN
330;50;MESETAS
350;50;LA MACARENA
370;50;URIBE
400;50;LEJANIAS
450;50;PUERTO CONCORDIA
